"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Mar 30 21:19:23 IDT 2022","Wed Mar 30 21:19:23 IDT 2022","1","grafana web","grafana login","sanity.GrafanaServerAdmin","sanity.GrafanaServerAdmin","Test01_verifyDefaultUser","Test01_verifyDefaultUser","this test verify the default user row"
"passed","Sat Apr 02 22:51:12 IDT 2022","Sat Apr 02 22:51:23 IDT 2022","10812","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test06_verifyHeader","Test06_verifyHeader","this test verify the header of main page"
"passed","Sat Apr 02 22:51:11 IDT 2022","Sat Apr 02 22:51:12 IDT 2022","694","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test05_VerifyEnabledButton","Test05_VerifyEnabledButton","this test verify the enable of login button"
"broken","Wed Mar 30 23:04:22 IDT 2022","Wed Mar 30 23:04:38 IDT 2022","15988","Default Suite","FinalGrafanaProject","sanity.GrafanaServerAdmin","sanity.GrafanaServerAdmin","Test03_VerifyDeletionUser","Test03_VerifyDeletionUser","this test verify the deletion of user"
"skipped","Wed Mar 30 21:19:22 IDT 2022","Wed Mar 30 21:19:22 IDT 2022","2","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test01_displyTitleLogin","Test01_displyTitleLogin","this test verify the title login page"
"passed","Sat Apr 02 22:51:05 IDT 2022","Sat Apr 02 22:51:09 IDT 2022","3079","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test01_displyTitleLogin","Test01_displyTitleLogin","this test verify the title login page"
"skipped","Wed Mar 30 21:19:23 IDT 2022","Wed Mar 30 21:19:23 IDT 2022","0","grafana web","grafana login","sanity.GrafanaMainPage","sanity.GrafanaMainPage","Test01_verifyToolBar","Test01_verifyToolBar","this test verify the tool bar menu//use soft assertions"
"broken","Tue Mar 29 23:32:38 IDT 2022","Tue Mar 29 23:32:38 IDT 2022","0","grafana web","grafana login","sanity.GrafanaMainPage","sanity.GrafanaMainPage","StartSession","StartSession",""
"passed","Sat Apr 02 22:52:17 IDT 2022","Sat Apr 02 22:52:30 IDT 2022","13139","grafana web","grafana login","sanity.GrafanaServerAdmin","sanity.GrafanaServerAdmin","Test04_SearchUsers","Test04_Search Users","this test searched users in  a table using DDT"
"skipped","Wed Mar 30 21:19:22 IDT 2022","Wed Mar 30 21:19:22 IDT 2022","2","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test04_displyForgotLink","Test04_displyForgotLink","this test verify the link: forgot your password"
"skipped","Wed Mar 30 21:19:22 IDT 2022","Wed Mar 30 21:19:22 IDT 2022","1","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test03_displyPassNote","Test03_displyPassNote","this test verify the password sentence"
"broken","Sat Apr 02 22:52:00 IDT 2022","Sat Apr 02 22:52:16 IDT 2022","16440","grafana web","grafana login","sanity.GrafanaServerAdmin","sanity.GrafanaServerAdmin","Test02_VerifyNewUser","Test02_VerifyNewUser","this test verify the new create user"
"passed","Sat Apr 02 22:51:10 IDT 2022","Sat Apr 02 22:51:11 IDT 2022","686","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test04_displyForgotLink","Test04_displyForgotLink","this test verify the link: forgot your password"
"failed","Sat Apr 02 22:51:55 IDT 2022","Sat Apr 02 22:51:59 IDT 2022","4251","grafana web","grafana login","sanity.GrafanaServerAdmin","sanity.GrafanaServerAdmin","Test01_verifyDefaultUser","Test01_verifyDefaultUser","this test verify the default user row"
"skipped","Wed Mar 30 21:19:22 IDT 2022","Wed Mar 30 21:19:22 IDT 2022","2","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test02_displyEmailNote","Test02_displyEmailNote","this test verify the email and user name sentence"
"skipped","Wed Mar 30 21:19:22 IDT 2022","Wed Mar 30 21:19:22 IDT 2022","1","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test05_VerifyEnabledButton","Test05_VerifyEnabledButton","this test verify the enable of login button"
"passed","Sat Apr 02 22:51:34 IDT 2022","Sat Apr 02 22:51:46 IDT 2022","11554","grafana web","grafana login","sanity.GrafanaMainPage","sanity.GrafanaMainPage","Test01_verifyToolBar","Test01_verifyToolBar","this test verify the tool bar menu//use soft assertions"
"broken","Tue Mar 29 23:32:38 IDT 2022","Tue Mar 29 23:32:38 IDT 2022","0","grafana web","grafana login","sanity.GrafanaServerAdmin","sanity.GrafanaServerAdmin","StartSession","StartSession",""
"broken","Wed Mar 30 21:19:23 IDT 2022","Wed Mar 30 21:19:23 IDT 2022","0","grafana web","grafana login","sanity.GrafanaMainPage","sanity.GrafanaMainPage","StartSession","StartSession",""
"passed","Sat Apr 02 22:51:09 IDT 2022","Sat Apr 02 22:51:10 IDT 2022","429","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test03_displyPassNote","Test03_displyPassNote","this test verify the password sentence"
"broken","Wed Mar 30 21:19:23 IDT 2022","Wed Mar 30 21:19:23 IDT 2022","0","grafana web","grafana login","sanity.GrafanaServerAdmin","sanity.GrafanaServerAdmin","StartSession","StartSession",""
"broken","Wed Mar 30 20:53:32 IDT 2022","Wed Mar 30 20:53:32 IDT 2022","9","Default Suite","FinalGrafanaProject","sanity.GrafanaLogin","sanity.GrafanaLogin","StartSession","StartSession",""
"skipped","Wed Mar 30 21:19:23 IDT 2022","Wed Mar 30 21:19:23 IDT 2022","1","grafana web","grafana login","sanity.GrafanaServerAdmin","sanity.GrafanaServerAdmin","Test02_VerifyNewUser","Test02_VerifyNewUser","this test verify the new create user"
"broken","Tue Mar 29 23:32:38 IDT 2022","Tue Mar 29 23:32:38 IDT 2022","3","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","StartSession","StartSession",""
"broken","Wed Mar 30 21:19:22 IDT 2022","Wed Mar 30 21:19:22 IDT 2022","4","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","StartSession","StartSession",""
"passed","Sat Apr 02 22:51:09 IDT 2022","Sat Apr 02 22:51:09 IDT 2022","549","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test02_displyEmailNote","Test02_displyEmailNote","this test verify the email and user name sentence"
"skipped","Wed Mar 30 21:19:23 IDT 2022","Wed Mar 30 21:19:23 IDT 2022","1","grafana web","grafana login","sanity.GrafanaLogin","sanity.GrafanaLogin","Test06_verifyHeader","Test06_verifyHeader","this test verify the header of main page"
